Pathogen,taxa
H1,A/Connecticut/Flu187/2011|A/Connecticut/Flu187/2011|HA|unknown|02/23/2011
H1,A/Connecticut/Flu182/2011|A/Connecticut/Flu182/2011|HA|unknown|04/07/2011
H1,A/Tennessee/F2026A/2011|A/Tennessee/F2026A/2011|HA|unknown|02/04/2011
H1,A/Tennessee/F2068/2011|A/Tennessee/F2068/2011|HA|unknown|03/03/2011
H1,A/Tennessee/F2090/2011|A/Tennessee/F2090/2011|HA|unknown|03/31/2011
H1,A/Boston/DOA73/2011|A/Boston/DOA73/2011|HA|unknown|03/08/2011
H1,A/Boston/DOA44/2011|A/Boston/DOA44/2011|HA|unknown|02/15/2011
H1,A/Boston/DOA40/2011|A/Boston/DOA40/2011|HA|unknown|02/11/2011
H1,A/Boston/DOA22/2011|A/Boston/DOA22/2011|HA|unknown|02/01/2011
H1,A/Boston/DOA21/2011|A/Boston/DOA21/2011|HA|unknown|01/27/2011
H1,A/New_York/WC-LVD-11-037/2011|A/New_York/WC-LVD-11-037/2011|HA|unknown|02/10/2011
H1,A/New_York/WC-LVD-11-027/2011|A/New_York/WC-LVD-11-027/2011|HA|unknown|03/08/2011
H1,A/New_York/WC-LVD-11-026/2011|A/New_York/WC-LVD-11-026/2011|HA|unknown|03/02/2011
H1,A/New_York/WC-LVD-11-022/2011|A/New_York/WC-LVD-11-022/2011|HA|unknown|02/18/2011
H1,A/New_York/WC-LVD-11-038/2011|A/New_York/WC-LVD-11-038/2011|HA|unknown|03/26/2011
H1,A/Connecticut/Flu184/2011|A/Connecticut/Flu184/2011|HA|unknown|02/22/2011
H1,A/Springfield/INS3_652/2011|A/Springfield/INS3_652/2011|HA|unknown|02/04/2011
H1,A/Boston/DOA46/2011|A/Boston/DOA46/2011|HA|unknown|02/16/2011
H1,A/Boston/DOA30/2011|A/Boston/DOA30/2011|HA|unknown|01/27/2011
H1,A/Boston/DOA28/2011|A/Boston/DOA28/2011|HA|unknown|01/27/2011
H1,A/Brooklyn/INS549/2011|A/Brooklyn/INS549/2011|HA|unknown|03/24/2011
H1,A/District_of_Columbia/WRAIR0313/2011|A/District_of_Columbia/WRAIR0313/2011|HA|unknown|01/01/2011
H1,A/District_of_Columbia/WRAIR0304/2010|A/District_of_Columbia/WRAIR0304/2010|HA|unknown|12/24/2010
H1,A/District_of_Columbia/WRAIR0308/2010|A/District_of_Columbia/WRAIR0308/2010|HA|unknown|12/29/2010
